RA,Dec
130.5194149641704,-17.558993097365274
130.52056172822662,-17.558993020527907
130.52170849227173,-17.558992937088767
130.52285535388697,-17.560086179133247
130.52285535388697,-17.560086179133247
130.52400212480867,-17.56008608248413
130.52514889571648,-17.560085979232785
130.5262957848982,-17.56117920139989
130.5262957848982,-17.56117920139989
130.5274425626772,-17.561179084936416
130.52858934043954,-17.56117896187026
130.5297361181843,-17.561178832201467
130.53088304180815,-17.56227202787217
130.5308831877075,-17.56336535976856
130.5308831877075,-17.56336535976856
130.53202997921812,-17.563365216875503
130.5331769304136,-17.564458399209354
130.53317709012066,-17.565551730992397
130.53317709012066,-17.565551730992397
130.534324062005,-17.566644906596117
130.534324062005,-17.566644906596117
130.53547104767364,-17.56773807552491
130.5354712211912,-17.568831407139925
130.53547139471084,-17.569924738704398
130.53547156823257,-17.571018070217498
130.5354717417564,-17.572111401678452
130.5354719152823,-17.573204733086445
130.53432522833947,-17.5742982272522
130.53432522833947,-17.5742982272522
130.53432522833947,-17.5742982272522
130.5354722623404,-17.57539139574046
130.53432556159595,-17.576484889817895
130.53432556159595,-17.576484889817895
130.5331788470254,-17.577578377251545
130.5331788470254,-17.577578377251545
130.53203211862936,-17.578671858039336
130.53203211862936,-17.578671858039336
130.53088537640855,-17.579765332179115
130.5870657661329,-17.540390634449807
130.58591912155768,-17.540391093671186
130.58477247691897,-17.54039154629827
130.58362583221765,-17.54039199233107
130.58247918745468,-17.54039243176957
130.5813320931604,-17.539299532754026
130.58133164369525,-17.53820620086522
130.58133164369525,-17.53820620086522
130.5801845700522,-17.537113295113173
130.5801845700522,-17.537113295113173
130.5790375101555,-17.53602038268453
130.5790375101555,-17.53602038268453
130.5778904640058,-17.534927463581397
130.57789003526153,-17.533834131500736
130.57903620322347,-17.532740386525603
130.57903620322347,-17.532740386525603
130.57903576758994,-17.531647054422997
130.57903533196165,-17.530553722296908
130.5790348963386,-17.52946039014812
130.58018102976598,-17.528366638628228
130.58132759875227,-17.52836621268953
130.58247416767873,-17.52836578016136
130.58362073654447,-17.528365341043706
130.58476730534858,-17.52836489533658
130.58591387409007,-17.52836444303997
130.5870604427681,-17.528363984153895
130.58820750219417,-17.529456850613922
130.58820750219417,-17.529456850613922
